datetime;	t_gpu;t_cpu;t_nvme_comp;t_nvme_s1;	cpu0_freq;cpu1_freq;cpu2_freq;cpu3_freq;	core0_408;core0_600;core0_816;core0_1100;core0_1420;core0_1610;core0_1800;core1_408;core1_600;core1_816;core1_1100;core1_1420;core1_1610;core1_1800;core2_408;core2_600;core2_816;core2_1100;core2_1420;core2_1610;core2_1800;core3_408;core3_600;core3_816;core3_1100;core3_1420;core3_1610;core3_1800
2024-11-20 07:48:37;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40
2024-11-20 07:48:43;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40
2024-11-20 07:48:50;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40
2024-11-20 07:48:56;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40;84.80;0.65;0.14;0.00;0.00;0.00;14.40
2024-11-20 07:49:02;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:08;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:15;	43.1;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41;84.80;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:21;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:27;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:33;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:39;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:46;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41;84.79;0.65;0.14;0.00;0.00;0.00;14.41
2024-11-20 07:49:52;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.79;0.65;0.14;0.00;0.00;0.00;14.42;84.79;0.65;0.14;0.00;0.00;0.00;14.42;84.79;0.65;0.14;0.00;0.00;0.00;14.42;84.79;0.65;0.14;0.00;0.00;0.00;14.42
2024-11-20 07:49:58;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.79;0.65;0.14;0.00;0.00;0.00;14.42;84.79;0.65;0.14;0.00;0.00;0.00;14.42;84.79;0.65;0.14;0.00;0.00;0.00;14.42;84.79;0.65;0.14;0.00;0.00;0.00;14.42
2024-11-20 07:50:04;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42
2024-11-20 07:50:11;	43.1;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42
2024-11-20 07:50:17;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42
2024-11-20 07:50:23;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42
2024-11-20 07:50:29;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42;84.78;0.65;0.14;0.00;0.00;0.00;14.42
2024-11-20 07:50:36;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43
2024-11-20 07:50:42;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43
2024-11-20 07:50:48;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43;84.78;0.65;0.14;0.00;0.00;0.00;14.43
2024-11-20 07:50:54;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43
2024-11-20 07:51:01;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43
2024-11-20 07:51:07;	42.5;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43;84.77;0.65;0.14;0.00;0.00;0.00;14.43
2024-11-20 07:51:13;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.77;0.65;0.14;0.00;0.00;0.00;14.44;84.77;0.65;0.14;0.00;0.00;0.00;14.44;84.77;0.65;0.14;0.00;0.00;0.00;14.44;84.77;0.65;0.14;0.00;0.00;0.00;14.44
2024-11-20 07:51:19;	42.5;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.77;0.65;0.14;0.00;0.00;0.00;14.44;84.77;0.65;0.14;0.00;0.00;0.00;14.44;84.77;0.65;0.14;0.00;0.00;0.00;14.44;84.77;0.65;0.14;0.00;0.00;0.00;14.44
2024-11-20 07:51:25;	43.1;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.76;0.65;0.14;0.00;0.00;0.00;14.44;84.76;0.65;0.14;0.00;0.00;0.00;14.44;84.76;0.65;0.14;0.00;0.00;0.00;14.44;84.76;0.65;0.14;0.00;0.00;0.00;14.44
2024-11-20 07:51:32;	43.1;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.76;0.65;0.14;0.00;0.00;0.00;14.44;84.76;0.65;0.14;0.00;0.00;0.00;14.44;84.76;0.65;0.14;0.00;0.00;0.00;14.44;84.76;0.65;0.14;0.00;0.00;0.00;14.44
2024-11-20 07:51:38;	43.1;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.76;0.65;0.14;0.00;0.00;0.00;14.45;84.76;0.65;0.14;0.00;0.00;0.00;14.45;84.76;0.65;0.14;0.00;0.00;0.00;14.45;84.76;0.65;0.14;0.00;0.00;0.00;14.45
2024-11-20 07:51:44;	43.1;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.75;0.65;0.14;0.00;0.00;0.00;14.45;84.75;0.65;0.14;0.00;0.00;0.00;14.45;84.75;0.65;0.14;0.00;0.00;0.00;14.45;84.75;0.65;0.14;0.00;0.00;0.00;14.45
2024-11-20 07:51:50;	43.1;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.75;0.65;0.14;0.00;0.00;0.00;14.45;84.75;0.65;0.14;0.00;0.00;0.00;14.45;84.75;0.65;0.14;0.00;0.00;0.00;14.45;84.75;0.65;0.14;0.00;0.00;0.00;14.45
2024-11-20 07:51:56;	43.1;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.75;0.65;0.14;0.00;0.00;0.00;14.46;84.75;0.65;0.14;0.00;0.00;0.00;14.46;84.75;0.65;0.14;0.00;0.00;0.00;14.46;84.75;0.65;0.14;0.00;0.00;0.00;14.46
2024-11-20 07:52:03;	43.1;46.1;41.9;41.9;	1800000;1800000;1800000;1800000;	84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46
2024-11-20 07:52:09;	43.1;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46
2024-11-20 07:52:15;	43.1;46.7;41.9;41.9;	1800000;1800000;1800000;1800000;	84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46;84.74;0.65;0.14;0.00;0.00;0.00;14.46
